Texto,Entidades
Se debe ajustar la dosis de 5-desoxi-5-fluorouridina debido a los efectos secundarios observados.,"(5-desoxi-5-fluorouridina,28,52"
El paciente fue tratado con 5-Metoxipsoraleno (5-MOP) tras su diagnóstico de hipertensión.,"(5-Metoxipsoraleno (5-MOP),28,53"
"Durante la consulta, se sugirió añadir 8-Aminoquinolina al régimen terapéutico.","(8-Aminoquinolina,39,55"
Se recetó 8-Metoxipsoraleno (8-MOP) para tratar la infección bacteriana.,"(8-Metoxipsoraleno (8-MOP),10,35"
El paciente fue tratado con Abeja (picadura) (veneno) tras su diagnóstico de hipertensión.,"(Abeja (picadura) (veneno),28,53"
Se ha reportado una reacción adversa grave al administrar ABOB.,"(ABOB,58,62"
El paciente fue tratado con Abrine tras su diagnóstico de hipertensión.,"(Abrine,28,34"
"Durante la consulta, se sugirió añadir Abrus (semilla) al régimen terapéutico.","(Abrus (semilla),39,54"
"Durante la consulta, se sugirió añadir Absenta al régimen terapéutico.","(Absenta,39,46"
Se debe ajustar la dosis de Acaricida debido a los efectos secundarios observados.,"(Acaricida,28,37"
"Durante la consulta, se sugirió añadir Acebutolol al régimen terapéutico.","(Acebutolol,39,49"
"Durante la consulta, se sugirió añadir Acecarbromal al régimen terapéutico.","(Acecarbromal,39,51"
Se ha reportado una reacción adversa grave al administrar Aceclidina.,"(Aceclidina,58,68"
Se recetó Acedapsona para tratar la infección bacteriana.,"(Acedapsona,10,20"
Se ha reportado una reacción adversa grave al administrar Acefilina piperacina.,"(Acefilina piperacina,58,78"
Se debe ajustar la dosis de Aceite (de) debido a los efectos secundarios observados.,"(Aceite (de),28,39"
Se debe ajustar la dosis de Aceite dulce (abedul) debido a los efectos secundarios observados.,"(Aceite dulce (abedul),28,49"
"El paciente fue tratado con Aceitosa, preparación (para la piel) tras su diagnóstico de hipertensión.","(Aceitosa, preparación (para la piel),28,64"
El paciente fue tratado con Acemorfán tras su diagnóstico de hipertensión.,"(Acemorfán,28,37"
"Durante la consulta, se sugirió añadir Acenocumarina al régimen terapéutico.","(Acenocumarina,39,52"
"Durante la consulta, se sugirió añadir Acenocumarol al régimen terapéutico.","(Acenocumarol,39,51"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acepifilina.","(Acepifilina,82,93"
Se recetó Acepromacina para tratar la infección bacteriana.,"(Acepromacina,10,22"
Se debe ajustar la dosis de Acesulfametoxipiridacina debido a los efectos secundarios observados.,"(Acesulfametoxipiridacina,28,52"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acetal.","(Acetal,82,88"
Se recetó Acetaldehído (emanaciones) para tratar la infección bacteriana.,"(Acetaldehído (emanaciones),10,36"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acetaminofeno.","(Acetaminofeno,82,95"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acetaminosalol.","(Acetaminosalol,82,96"
El paciente fue tratado con Acetanilida tras su diagnóstico de hipertensión.,"(Acetanilida,28,39"
Se recetó Acetarsol para tratar la infección bacteriana.,"(Acetarsol,10,19"
"Durante la consulta, se sugirió añadir Acetazolamida al régimen terapéutico.","(Acetazolamida,39,52"
Se debe ajustar la dosis de Acetiamina debido a los efectos secundarios observados.,"(Acetiamina,28,38"
Se ha reportado una reacción adversa grave al administrar Acético.,"(Acético,58,65"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acetilcarbromal.","(Acetilcarbromal,82,97"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acetilcisteína.","(Acetilcisteína,82,96"
El paciente fue tratado con Acetilcolina tras su diagnóstico de hipertensión.,"(Acetilcolina,28,40"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acetildigitoxina.","(Acetildigitoxina,82,98"
"Durante la consulta, se sugirió añadir Acetildigoxina al régimen terapéutico.","(Acetildigoxina,39,53"
El paciente fue tratado con Acetildihidrocodeína tras su diagnóstico de hipertensión.,"(Acetildihidrocodeína,28,48"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acetildihidrocodeinona.","(Acetildihidrocodeinona,82,104"
Se ha reportado una reacción adversa grave al administrar Acetileno (gas).,"(Acetileno (gas),58,73"
Se recetó Acetilfeneturida para tratar la infección bacteriana.,"(Acetilfeneturida,10,26"
Se recetó Acetilfenilhidracina para tratar la infección bacteriana.,"(Acetilfenilhidracina,10,30"
El paciente fue tratado con Acetilo tras su diagnóstico de hipertensión.,"(Acetilo,28,35"
"El paciente fue tratado con Acetilsalicílico, ácido (sales) tras su diagnóstico de hipertensión.","(Acetilsalicílico, ácido (sales),28,59"
"Durante la consulta, se sugirió añadir Acetilsulfametoxipiridacina al régimen terapéutico.","(Acetilsulfametoxipiridacina,39,66"
"Durante la consulta, se sugirió añadir Acetofenacina al régimen terapéutico.","(Acetofenacina,39,52"
Se debe ajustar la dosis de Acetofenetedina debido a los efectos secundarios observados.,"(Acetofenetedina,28,43"
Se debe ajustar la dosis de Acetofenona debido a los efectos secundarios observados.,"(Acetofenona,28,39"
Se recetó Acetohexamida para tratar la infección bacteriana.,"(Acetohexamida,10,23"
"El paciente fue tratado con Acetohidroxámico, ácido tras su diagnóstico de hipertensión.","(Acetohidroxámico, ácido,28,51"
Se debe ajustar la dosis de Acetomenaftona debido a los efectos secundarios observados.,"(Acetomenaftona,28,42"
El paciente fue tratado con Acetomorfina tras su diagnóstico de hipertensión.,"(Acetomorfina,28,40"
Se debe ajustar la dosis de Acetona (aceites) debido a los efectos secundarios observados.,"(Acetona (aceites),28,45"
"Durante la consulta, se sugirió añadir Acetonitrilo al régimen terapéutico.","(Acetonitrilo,39,51"
El paciente fue tratado con Acetorfina tras su diagnóstico de hipertensión.,"(Acetorfina,28,38"
"Durante la consulta, se sugirió añadir Acetosulfona (sodio) al régimen terapéutico.","(Acetosulfona (sodio),39,59"
Se debe ajustar la dosis de Acetotrizoato (sodio) debido a los efectos secundarios observados.,"(Acetotrizoato (sodio),28,49"
"Durante la consulta, se sugirió añadir Acetrizoico, ácido al régimen terapéutico.","(Acetrizoico, ácido,39,57"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Aciclovir.","(Aciclovir,82,91"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acidificante, agente NCOC.","(Acidificante, agente NCOC,82,107"
Se debe ajustar la dosis de Acipimox debido a los efectos secundarios observados.,"(Acipimox,28,36"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acitretina.","(Acitretina,82,92"
"Durante la consulta, se sugirió añadir Aclarubicina al régimen terapéutico.","(Aclarubicina,39,51"
"Se debe ajustar la dosis de Aclatonio, napadisilato de debido a los efectos secundarios observados.","(Aclatonio, napadisilato de,28,54"
"Durante la consulta, se sugirió añadir Aconitina al régimen terapéutico.","(Aconitina,39,48"
Se ha reportado una reacción adversa grave al administrar Acónito.,"(Acónito,58,65"
Se recetó Acónito (silvestre) para tratar la infección bacteriana.,"(Acónito (silvestre),10,29"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Aconitum ferox.","(Aconitum ferox,82,96"
El paciente fue tratado con Acridina tras su diagnóstico de hipertensión.,"(Acridina,28,36"
El paciente fue tratado con Acriflavina tras su diagnóstico de hipertensión.,"(Acriflavina,28,39"
Se recetó Acriflavinium cloruro para tratar la infección bacteriana.,"(Acriflavinium cloruro,10,31"
El paciente fue tratado con Acrilamida tras su diagnóstico de hipertensión.,"(Acrilamida,28,38"
"El paciente fue tratado con Acrílica, resina tras su diagnóstico de hipertensión.","(Acrílica, resina,28,44"
Se ha reportado una reacción adversa grave al administrar Acrilonitrilo.,"(Acrilonitrilo,58,71"
Se recetó Acrinol para tratar la infección bacteriana.,"(Acrinol,10,17"
El paciente fue tratado con Acrisorcina tras su diagnóstico de hipertensión.,"(Acrisorcina,28,39"
Se ha reportado una reacción adversa grave al administrar Acritoína.,"(Acritoína,58,67"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acrivastina.","(Acrivastina,82,93"
El paciente fue tratado con Acroleína (gas) tras su diagnóstico de hipertensión.,"(Acroleína (gas),28,43"
Se debe ajustar la dosis de Acromicina debido a los efectos secundarios observados.,"(Acromicina,28,38"
Se ha reportado una reacción adversa grave al administrar Actaea spicata.,"(Actaea spicata,58,72"
"Durante la consulta, se sugirió añadir Acterol al régimen terapéutico.","(Acterol,39,46"
Se debe ajustar la dosis de ACTH debido a los efectos secundarios observados.,"(ACTH,28,32"
Se debe ajustar la dosis de Actinomicina C debido a los efectos secundarios observados.,"(Actinomicina C,28,42"
Se recetó Actinomicina D para tratar la infección bacteriana.,"(Actinomicina D,10,24"
"Se recetó Activado, carbón - véase además Carbón medicinal para tratar la infección bacteriana.","(Activado, carbón - véase además Carbón medicinal,10,58"
"Durante la consulta, se sugirió añadir Adenina al régimen terapéutico.","(Adenina,39,46"
El paciente fue tratado con Adelfa tras su diagnóstico de hipertensión.,"(Adelfa,28,34"
Se ha reportado una reacción adversa grave al administrar Adenosina (fosfato).,"(Adenosina (fosfato),58,77"
Se ha reportado una reacción adversa grave al administrar ADH.,"(ADH,58,61"
Se ha reportado una reacción adversa grave al administrar Adhesivo NCOC.,"(Adhesivo NCOC,58,71"
El paciente fue tratado con Adicilina tras su diagnóstico de hipertensión.,"(Adicilina,28,37"
"Durante la consulta, se sugirió añadir Adiphenine al régimen terapéutico.","(Adiphenine,39,49"
Se debe ajustar la dosis de Adipiodona debido a los efectos secundarios observados.,"(Adipiodona,28,38"
El paciente fue tratado con Adrenalina tras su diagnóstico de hipertensión.,"(Adrenalina,28,38"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Adrenérgico NCOC.","(Adrenérgico NCOC,82,98"
"Se ha reportado una reacción adversa grave al administrar Adrenocorticotrópica, hormona.","(Adrenocorticotrópica, hormona,58,87"
Se ha reportado una reacción adversa grave al administrar Adrenocorticotropina.,"(Adrenocorticotropina,58,78"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Adrenocromo.","(Adrenocromo,82,93"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Adriamicina.","(Adriamicina,82,93"
Se recetó Adyuvante farmacéutico para tratar la infección bacteriana.,"(Adyuvante farmacéutico,10,32"
"Durante la consulta, se sugirió añadir Aerosol NCOC al régimen terapéutico.","(Aerosol NCOC,39,51"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Aerosporina.","(Aerosporina,82,93"
"Durante la consulta, se sugirió añadir Aethusa cynapium al régimen terapéutico.","(Aethusa cynapium,39,55"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Afganistán, hachís negro de.","(Afganistán, hachís negro de,82,109"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Aflatoxina.","(Aflatoxina,82,92"
El paciente fue tratado con Aflocualona tras su diagnóstico de hipertensión.,"(Aflocualona,28,39"
Se recetó Agar para tratar la infección bacteriana.,"(Agar,10,14"
El paciente fue tratado con Agente blanqueador (medicinal) tras su diagnóstico de hipertensión.,"(Agente blanqueador (medicinal),28,58"
Se debe ajustar la dosis de Agonista debido a los efectos secundarios observados.,"(Agonista,28,36"
"Durante la consulta, se sugirió añadir Agrícola (agente) NCOC al régimen terapéutico.","(Agrícola (agente) NCOC,39,61"
Se debe ajustar la dosis de Agridulce debido a los efectos secundarios observados.,"(Agridulce,28,37"
Se recetó Agripnal para tratar la infección bacteriana.,"(Agripnal,10,18"
Se recetó Agua para tratar la infección bacteriana.,"(Agua,10,14"
"Durante la consulta, se sugirió añadir AHLG al régimen terapéutico.","(AHLG,39,43"
Se ha reportado una reacción adversa grave al administrar Ajmalina.,"(Ajmalina,58,66"
El paciente fue tratado con Akee tras su diagnóstico de hipertensión.,"(Akee,28,32"
Se ha reportado una reacción adversa grave al administrar Alaceprilo.,"(Alaceprilo,58,68"
Se ha reportado una reacción adversa grave al administrar Alantoína.,"(Alantoína,58,67"
Se recetó Alantolactona para tratar la infección bacteriana.,"(Alantolactona,10,23"
"Durante la consulta, se sugirió añadir Albamicina al régimen terapéutico.","(Albamicina,39,49"
El paciente fue tratado con Albendazol tras su diagnóstico de hipertensión.,"(Albendazol,28,38"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Albúmina.","(Albúmina,82,90"
"Se recetó Albúmina sérica normal (humano), pobre en sal para tratar la infección bacteriana.","(Albúmina sérica normal (humano), pobre en sal,10,55"
Se recetó Albuterol para tratar la infección bacteriana.,"(Albuterol,10,19"
El paciente fue tratado con Albutoína tras su diagnóstico de hipertensión.,"(Albutoína,28,37"
"Se recetó Alcalina, solución antiséptica (aromática) para tratar la infección bacteriana.","(Alcalina, solución antiséptica (aromática),10,52"
"Durante la consulta, se sugirió añadir Alcalinizantes, agentes (medicinales) al régimen terapéutico.","(Alcalinizantes, agentes (medicinales),39,76"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Alcalizante, agente NCOC.","(Alcalizante, agente NCOC,82,106"
Se debe ajustar la dosis de Alcanfor debido a los efectos secundarios observados.,"(Alcanfor,28,36"
"Durante la consulta, se sugirió añadir Alcantarillado, gas de al régimen terapéutico.","(Alcantarillado, gas de,39,61"
Se debe ajustar la dosis de Alcavervir debido a los efectos secundarios observados.,"(Alcavervir,28,38"
Se recetó Alclometasona para tratar la infección bacteriana.,"(Alclometasona,10,23"
Se debe ajustar la dosis de Alcohol debido a los efectos secundarios observados.,"(Alcohol,28,35"
"Durante la consulta, se sugirió añadir Alconio (bromuro) al régimen terapéutico.","(Alconio (bromuro),39,56"
Se ha reportado una reacción adversa grave al administrar Alcuronio (cloruro).,"(Alcuronio (cloruro),58,77"
"Durante la consulta, se sugirió añadir Aldactona al régimen terapéutico.","(Aldactona,39,48"
Se debe ajustar la dosis de Aldesulfona de sodio debido a los efectos secundarios observados.,"(Aldesulfona de sodio,28,48"
Se debe ajustar la dosis de Aldicarb debido a los efectos secundarios observados.,"(Aldicarb,28,36"
Se ha reportado una reacción adversa grave al administrar Aldomet.,"(Aldomet,58,65"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Aldosterona.","(Aldosterona,82,93"
"Durante la consulta, se sugirió añadir Aldrina (polvo) al régimen terapéutico.","(Aldrina (polvo),39,54"
Se recetó Alegron para tratar la infección bacteriana.,"(Alegron,10,17"
Se debe ajustar la dosis de Aletrina debido a los efectos secundarios observados.,"(Aletrina,28,36"
"Durante la consulta, se sugirió añadir Aleve - véase Naproxeno al régimen terapéutico.","(Aleve - véase Naproxeno,39,62"
"Durante la consulta, se sugirió añadir Alexitol de sodio al régimen terapéutico.","(Alexitol de sodio,39,56"
"Durante la consulta, se sugirió añadir Alfa al régimen terapéutico.","(Alfa,39,43"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Alfacalcidol.","(Alfacalcidol,82,94"
El paciente fue tratado con Alfadolona tras su diagnóstico de hipertensión.,"(Alfadolona,28,38"
El paciente fue tratado con Alfaprodina tras su diagnóstico de hipertensión.,"(Alfaprodina,28,39"
Se ha reportado una reacción adversa grave al administrar Alfaxalona.,"(Alfaxalona,58,68"
Se debe ajustar la dosis de Alfentanilo debido a los efectos secundarios observados.,"(Alfentanilo,28,39"
Se debe ajustar la dosis de Alfuzosina (clorhidrato) debido a los efectos secundarios observados.,"(Alfuzosina (clorhidrato),28,52"
El paciente fue tratado con Algas (nocivas) (toxina) tras su diagnóstico de hipertensión.,"(Algas (nocivas) (toxina),28,52"
Se debe ajustar la dosis de Algeldrato debido a los efectos secundarios observados.,"(Algeldrato,28,38"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Algina.","(Algina,82,88"
El paciente fue tratado con Alglucerasa tras su diagnóstico de hipertensión.,"(Alglucerasa,28,39"
"Durante la consulta, se sugirió añadir Alidase al régimen terapéutico.","(Alidase,39,46"
"Se recetó Alifáticos, tiocianatos para tratar la infección bacteriana.","(Alifáticos, tiocianatos,10,33"
"Durante la consulta, se sugirió añadir Alil al régimen terapéutico.","(Alil,39,43"
Se ha reportado una reacción adversa grave al administrar Alilestrenol.,"(Alilestrenol,58,70"
"Durante la consulta, se sugirió añadir Alilisopropilacetilurea al régimen terapéutico.","(Alilisopropilacetilurea,39,62"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Alilisopropilmalonilurea.","(Alilisopropilmalonilurea,82,106"
"Durante la consulta, se sugirió añadir Alilo, tribromuro de al régimen terapéutico.","(Alilo, tribromuro de,39,59"
"Durante la consulta, se sugirió añadir Aliltiourea al régimen terapéutico.","(Aliltiourea,39,50"
"Durante la consulta, se sugirió añadir Alimemacina al régimen terapéutico.","(Alimemacina,39,50"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Alimentos, productos alimenticios, nocivos, no bacterianos, NCOC.","(Alimentos, productos alimenticios, nocivos, no bacterianos, NCOC,82,146"
El paciente fue tratado con Alipropimal tras su diagnóstico de hipertensión.,"(Alipropimal,28,39"
"Durante la consulta, se sugirió añadir Alizaprida al régimen terapéutico.","(Alizaprida,39,49"
Se debe ajustar la dosis de Alka-seltzer debido a los efectos secundarios observados.,"(Alka-seltzer,28,40"
Se debe ajustar la dosis de Almacenamiento de batería (células) (ácido) debido a los efectos secundarios observados.,"(Almacenamiento de batería (células) (ácido),28,71"
El paciente fue tratado con Almagato tras su diagnóstico de hipertensión.,"(Almagato,28,36"
"Durante la consulta, se sugirió añadir Almasilato al régimen terapéutico.","(Almasilato,39,49"
"Durante la consulta, se sugirió añadir Almendras amargas, aceite de al régimen terapéutico.","(Almendras amargas, aceite de,39,67"
Se ha reportado una reacción adversa grave al administrar Almidón.,"(Almidón,58,65"
Se recetó Almitrina para tratar la infección bacteriana.,"(Almitrina,10,19"
"Durante la consulta, se sugirió añadir Alobarbital al régimen terapéutico.","(Alobarbital,39,50"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Aloe.","(Aloe,82,86"
Se recetó Aloglutamol para tratar la infección bacteriana.,"(Aloglutamol,10,21"
Se ha reportado una reacción adversa grave al administrar Aloína.,"(Aloína,58,64"
"Durante la consulta, se sugirió añadir Alopurinol al régimen terapéutico.","(Alopurinol,39,49"
Se debe ajustar la dosis de Aloxidona debido a los efectos secundarios observados.,"(Aloxidona,28,37"
Se ha reportado una reacción adversa grave al administrar Alprazolam.,"(Alprazolam,58,68"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Alprenolol.","(Alprenolol,82,92"
Se debe ajustar la dosis de Alprostadil debido a los efectos secundarios observados.,"(Alprostadil,28,39"
"El paciente fue tratado con Alquilantes, drogas NCOC tras su diagnóstico de hipertensión.","(Alquilantes, drogas NCOC,28,52"
Se ha reportado una reacción adversa grave al administrar Alquilisocianato.,"(Alquilisocianato,58,74"
Se recetó Alsactida para tratar la infección bacteriana.,"(Alsactida,10,19"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Alseroxilón.","(Alseroxilón,82,93"
"Durante la consulta, se sugirió añadir Alteplasa al régimen terapéutico.","(Alteplasa,39,48"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Altizida.","(Altizida,82,90"
El paciente fue tratado con Altretamina tras su diagnóstico de hipertensión.,"(Altretamina,28,39"
Se debe ajustar la dosis de Alucinógeno NEOM debido a los efectos secundarios observados.,"(Alucinógeno NEOM,28,44"
Se ha reportado una reacción adversa grave al administrar Alumbre (medicinal).,"(Alumbre (medicinal),58,77"
El paciente fue tratado con Aluminio tras su diagnóstico de hipertensión.,"(Aluminio,28,36"
"Durante la consulta, se sugirió añadir Alurato al régimen terapéutico.","(Alurato,39,46"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Alverina.","(Alverina,82,90"
"Durante la consulta, se sugirió añadir Alvodina al régimen terapéutico.","(Alvodina,39,47"
Se debe ajustar la dosis de Amanita faloides debido a los efectos secundarios observados.,"(Amanita faloides,28,44"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Amanitina.","(Amanitina,82,91"
"Durante la consulta, se sugirió añadir Amantadina al régimen terapéutico.","(Amantadina,39,49"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Amarillo.","(Amarillo,82,90"
Se ha reportado una reacción adversa grave al administrar Ambazona.,"(Ambazona,58,66"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Ambenonio (cloruro).","(Ambenonio (cloruro),82,101"
Se recetó Ambroxol para tratar la infección bacteriana.,"(Ambroxol,10,18"
Se recetó Ambufilina para tratar la infección bacteriana.,"(Ambufilina,10,20"
"Se recetó Ambutonio, bromuro de para tratar la infección bacteriana.","(Ambutonio, bromuro de,10,31"
Se debe ajustar la dosis de Amcinonida debido a los efectos secundarios observados.,"(Amcinonida,28,38"
El paciente fue tratado con Amdinocilina tras su diagnóstico de hipertensión.,"(Amdinocilina,28,40"
"Se debe ajustar la dosis de Amecinio, metilsulfato de debido a los efectos secundarios observados.","(Amecinio, metilsulfato de,28,53"
"Durante la consulta, se sugirió añadir Ametazol al régimen terapéutico.","(Ametazol,39,47"
El paciente fue tratado con Ametocaína tras su diagnóstico de hipertensión.,"(Ametocaína,28,38"
"Durante la consulta, se sugirió añadir Ametopterina al régimen terapéutico.","(Ametopterina,39,51"
"Durante la consulta, se sugirió añadir Amfebutamona al régimen terapéutico.","(Amfebutamona,39,51"
Se ha reportado una reacción adversa grave al administrar Amfenidona.,"(Amfenidona,58,68"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Amfepramona.","(Amfepramona,82,93"
Se ha reportado una reacción adversa grave al administrar Amfomicina.,"(Amfomicina,58,68"
Se recetó Amianto para tratar la infección bacteriana.,"(Amianto,10,17"
"Se recetó Amidefrine, mesilato de para tratar la infección bacteriana.","(Amidefrine, mesilato de,10,33"
"Durante la consulta, se sugirió añadir Amidona al régimen terapéutico.","(Amidona,39,46"
"Durante la consulta, se sugirió añadir Amidopirina al régimen terapéutico.","(Amidopirina,39,50"
Se debe ajustar la dosis de Amidotrizoato debido a los efectos secundarios observados.,"(Amidotrizoato,28,41"
Se ha reportado una reacción adversa grave al administrar Amifenazona.,"(Amifenazona,58,69"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Amiflamina.","(Amiflamina,82,92"
"Durante la consulta, se sugirió añadir Amigdalina al régimen terapéutico.","(Amigdalina,39,49"
"Durante la consulta, se sugirió añadir Amikacina al régimen terapéutico.","(Amikacina,39,48"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Amilasa.","(Amilasa,82,89"
"Se debe ajustar la dosis de Amileína, regional debido a los efectos secundarios observados.","(Amileína, regional,28,46"
Se recetó Amileno para tratar la infección bacteriana.,"(Amileno,10,17"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Amilmetacresol.","(Amilmetacresol,82,96"
El paciente fue tratado con Amilo tras su diagnóstico de hipertensión.,"(Amilo,28,33"
"Durante la consulta, se sugirió añadir Amilobarbitona al régimen terapéutico.","(Amilobarbitona,39,53"
"El paciente fue tratado con Amilocaína, regional tras su diagnóstico de hipertensión.","(Amilocaína, regional,28,48"
Se recetó Amilopectina para tratar la infección bacteriana.,"(Amilopectina,10,22"
Se recetó Amilorida para tratar la infección bacteriana.,"(Amilorida,10,19"
El paciente fue tratado con Aminacrina tras su diagnóstico de hipertensión.,"(Aminacrina,28,38"
El paciente fue tratado con Amineptina tras su diagnóstico de hipertensión.,"(Amineptina,28,38"
"Durante la consulta, se sugirió añadir Aminitrozol al régimen terapéutico.","(Aminitrozol,39,50"
"El paciente fue tratado con Aminoacetic, ácido (derivados) tras su diagnóstico de hipertensión.","(Aminoacetic, ácido (derivados),28,58"
Se ha reportado una reacción adversa grave al administrar Aminoácidos.,"(Aminoácidos,58,69"
